player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Joe Perry,Jimmy White,7,1297,1144,0.6994442564412618,0.5944759307482401,1390,806,9535,5143,1575,843,13082,6750,131,61,711,354,74,26,373,148,4,1,0.0,0.8
Jordan Brown,Andrew Pagett,7,1282,1150,0.6741427448520734,0.5817593768418362,343,176,2114,1054,349,151,2233,1046,160,74,778,392,127,56,400,161,2,4,1.0,0.33333333333333337
Jackson Page,Mostafa Dorgham,7,1340,1024,0.8576412839544288,0.6878313305828404,207,105,1319,653,23,4,155,49,179,90,613,314,99,37,145,49,4,0,0.0,1.0
David Lilley,Ross Muir,7,1290,1184,0.641605432096216,0.5658650028954817,266,134,1578,793,290,114,1838,841,175,88,534,261,98,39,433,199,2,4,1.0,0.33333333333333337
Scott Donaldson,Oliver Lines,7,1407,1295,0.6492231123314619,0.569546223939229,498,265,3194,1631,380,182,2282,1113,155,84,652,340,118,49,490,233,1,4,1.0,0.19999999999999996
Jiang Jun,Tian Pengfei,7,1174,1312,0.3185334396534134,0.4145954308705349,32,11,227,104,568,312,3723,1959,134,62,227,104,136,68,503,249,4,2,0.0,0.6666666666666666
Jamie Jones,Joshua Thomond,7,1298,1060,0.7910094256982455,0.6445115537062945,678,398,4444,2386,77,33,409,198,139,64,687,348,73,33,160,80,4,0,0.0,1.0
Ashley Carty,Liu Hongyu,7,1300,1291,0.5123026114255718,0.5056247627073255,284,133,1664,820,48,24,295,158,130,68,377,189,120,60,295,158,1,4,1.0,0.19999999999999996
Peifan Lei,Aaron Hill,7,1234,1309,0.39864897080765693,0.45326184801538616,118,54,693,328,128,59,749,360,67,32,296,137,128,62,543,278,2,4,1.0,0.33333333333333337
Andrew Higginson,Daniel Wells,7,1257,1394,0.3197489554385173,0.415202325282263,881,503,6117,3307,530,267,3484,1750,103,47,447,236,163,85,561,314,4,3,0.0,0.5714285714285714
Anthony Hamilton,Louis Heathcote,7,1250,1293,0.4414365500608033,0.4731508513108857,1053,596,7713,4057,203,93,1181,577,123,59,496,239,152,78,500,243,4,2,0.0,0.6666666666666666
He Guoqiang,Wang Yuchen,7,1277,1143,0.6765921632853334,0.5829754542011996,68,37,434,220,98,36,615,261,161,81,351,188,63,31,147,82,4,3,0.0,0.5714285714285714
Mitchell Mann,Xiao Guodong,7,1171,1486,0.14310407990585805,0.3127057198027958,382,173,2303,1086,764,443,4798,2631,68,35,273,122,247,136,979,523,1,4,1.0,0.19999999999999996
Marco Fu,David Grace,7,1376,1212,0.7123105654940887,0.6010878788483698,977,571,7284,3945,485,224,3169,1531,142,78,418,214,104,47,480,225,0,4,1.0,0.0
Mark Davis,Xing Zihao,7,1384,1163,0.774213209168811,0.6347154153791584,1320,784,9072,4931,33,13,205,93,150,82,532,267,105,49,205,93,4,1,0.0,0.8
Liam Davies,Dominic Dale,7,1124,1296,0.27850914938679605,0.3941263315682394,48,23,285,134,1118,622,7734,4066,88,43,259,124,165,81,526,260,0,4,1.0,0.0
Hammad Miah,Jamie Clarke,7,1204,1275,0.40393878027435215,0.45574114158212686,292,117,1865,841,339,169,2027,1006,90,34,416,187,127,59,545,264,3,4,1.0,0.4285714285714286
Martin O'Donnell,Ian Burns,7,1332,1259,0.5987085312450529,0.5454987872127821,517,263,3208,1624,500,243,3147,1560,185,96,491,246,102,46,442,204,2,4,1.0,0.33333333333333337
Ryan Day,Fan Zhengyi,7,1387,1384,0.5041014855971091,0.501874991210987,1320,780,8711,4739,190,83,1215,562,286,147,992,518,201,109,714,376,1,4,1.0,0.19999999999999996
Stuart Bingham,Wu Yize,7,1434,1367,0.5907526477758751,0.5417773692836367,1514,956,10488,5938,118,59,815,413,306,160,1000,530,169,90,601,317,3,4,1.0,0.4285714285714286
Ben Woollaston,Mark Williams,7,1392,1568,0.2739765592815067,0.3917409692534856,838,473,5288,2807,1806,1185,13188,7572,159,86,580,301,293,165,1075,626,4,1,0.0,0.8
David Grace,Kyren Wilson,7,1212,1577,0.10919722723358294,0.28648853245736305,485,224,3169,1531,1060,676,6748,3809,104,47,480,225,549,314,1441,838,1,4,1.0,0.19999999999999996
Chris Wakelin,Joe Perry,7,1466,1297,0.7180660778287002,0.6040813228693781,436,236,2772,1438,1390,806,9535,5143,301,161,873,475,131,61,711,354,4,2,0.0,0.6666666666666666
Matthew Stevens,Hossein Vafaei,7,1346,1471,0.33449278737206556,0.4225046348141882,1134,653,8558,4635,338,205,2348,1256,134,66,601,317,204,119,871,501,3,4,1.0,0.4285714285714286
Judd Trump,Liu Hongyu,7,1666,1291,0.8967839705837035,0.7185943925708561,1468,1057,10170,6150,48,24,295,158,511,321,1732,1061,120,60,295,158,4,3,0.0,0.5714285714285714
Noppon Saengkham,Zak Surety,7,1389,1273,0.6542665688127887,0.5719961329315186,467,243,3188,1614,256,116,1476,703,179,91,804,431,141,70,489,239,0,4,1.0,0.0
Ishpreet Singh Chadha,Jak Jones,7,1179,1447,0.1813213925427837,0.3384968407970475,43,22,252,131,409,204,2692,1297,109,50,252,131,346,194,855,464,4,3,0.0,0.5714285714285714
Jack Lisowski,Xu Si,7,1461,1333,0.6692199309586204,0.5793242521487495,809,494,5272,2889,205,88,1305,602,239,133,1044,578,156,79,516,255,3,4,1.0,0.4285714285714286
Matthew Selt,Ricky Walden,7,1402,1377,0.534135239137421,0.5156199157230156,885,482,5708,2974,1173,693,7888,4313,204,106,955,489,269,138,947,500,4,3,0.0,0.5714285714285714
Aaron Hill,Mark Selby,7,1309,1556,0.20042350026365752,0.35035025070959125,128,59,749,360,1574,1075,11243,6543,128,62,543,278,375,211,1305,741,2,4,1.0,0.33333333333333337
Jackson Page,Neil Robertson,7,1340,1518,0.271724888745416,0.39055021637167475,207,105,1319,653,1283,851,9392,5408,179,90,613,314,293,176,1007,577,1,4,1.0,0.19999999999999996
Joe O'Connor,Artemijs Zizins,7,1376,1107,0.8195570476403491,0.6620627248063988,307,152,1933,970,15,9,81,45,261,134,741,385,81,45,81,45,4,0,0.0,1.0
Jamie Clarke,Shaun Murphy,7,1275,1553,0.17266496128211628,0.3329217229043747,339,169,2027,1006,1374,903,9924,5641,127,59,545,264,292,167,964,552,1,4,1.0,0.19999999999999996
Ross Muir,Gary Wilson,7,1184,1456,0.1778246897927669,0.3362613025956473,290,114,1838,841,742,428,4771,2564,98,39,433,199,347,183,979,513,4,3,0.0,0.5714285714285714
Xiao Guodong,Anthony McGill,7,1486,1353,0.67536846283006,0.5823675407280795,764,443,4798,2631,758,451,5037,2734,247,136,979,523,94,43,646,348,2,4,1.0,0.33333333333333337
Stephen Maguire,Bulcsú Révész,7,1433,1103,0.8677841579315165,0.6952966693475653,1210,782,8838,4963,21,9,149,69,212,115,707,378,98,46,149,69,4,0,0.0,1.0
Robert Milkins,Oliver Lines,7,1303,1295,0.510936041856229,0.5049998333399996,1141,657,7911,4218,380,182,2282,1113,169,72,952,476,118,49,490,233,3,4,1.0,0.4285714285714286
Thepchaiya Un-Nooh,Pang Junxu,7,1471,1453,0.5245927745980454,0.5112481019468549,571,334,3940,2105,185,102,1195,624,169,93,687,377,276,151,812,440,3,4,1.0,0.4285714285714286
Jiang Jun,Tom Ford,7,1174,1363,0.2595181866802162,0.3840246980818742,32,11,227,104,947,538,6454,3436,134,62,227,104,211,98,944,492,4,2,0.0,0.6666666666666666
Zhou Yuelong,Jamie Jones,7,1412,1298,0.651748409886971,0.5707716118944917,509,301,3211,1732,678,398,4444,2386,160,78,903,479,139,64,687,348,0,4,1.0,0.0
Si Jiahui,Andrew Pagett,7,1491,1150,0.8753745152338872,0.7010913114266953,199,114,1351,728,349,151,2233,1046,354,203,927,508,127,56,400,161,4,1,0.0,0.8
John Higgins,Andrew Higginson,7,1525,1257,0.8186786074572162,0.6615031592029524,1893,1334,14639,8625,881,503,6117,3307,460,255,1424,813,103,47,447,236,4,1,0.0,0.8
Jimmy Robertson,Barry Hawkins,7,1369,1439,0.40526420278841824,0.45636131276292113,752,412,4897,2556,1351,843,9288,5198,181,90,750,397,267,140,950,538,2,4,1.0,0.33333333333333337
Lyu Haotian,Dominic Dale,7,1380,1296,0.6131794491635048,0.5523079095743253,345,176,2256,1127,1118,622,7734,4066,169,82,723,390,165,81,526,260,4,2,0.0,0.6666666666666666
He Guoqiang,Ronnie O'Sullivan,7,1277,1605,0.133631576507949,0.3057636598919695,68,37,434,220,1538,1174,13287,8108,161,81,351,188,372,225,1198,723,4,2,0.0,0.6666666666666666
Michael Holt,David Gilbert,7,1241,1517,0.17437349115866052,0.33403307324817977,1014,571,7034,3709,962,567,6595,3576,59,25,322,163,299,174,865,481,3,4,1.0,0.4285714285714286
Ali Carter,Ian Burns,7,1468,1259,0.7618819203066071,0.6277321638605189,1336,824,9017,4980,500,243,3147,1560,348,186,1205,670,102,46,442,204,4,0,0.0,1.0
Luca Brecel,Anthony Hamilton,7,1441,1250,0.7426684543010009,0.6171573626529722,648,377,4345,2350,1053,596,7713,4057,146,75,857,467,123,59,496,239,4,3,0.0,0.5714285714285714
Zhang Anda,Mark Davis,7,1461,1384,0.6039885915613215,0.5479769376367963,488,254,3424,1753,1320,784,9072,4931,247,126,874,487,150,82,532,267,4,3,0.0,0.5714285714285714
Long Zehuang,Mark Allen,7,1319,1548,0.21778339730367313,0.36066016324693406,76,38,430,218,1086,722,7693,4373,165,92,271,140,356,198,1185,676,3,4,1.0,0.4285714285714286
Oliver Lines,Fan Zhengyi,7,1295,1384,0.3802964135005038,0.4446033516794108,380,182,2282,1113,190,83,1215,562,118,49,490,233,201,109,714,376,2,4,1.0,0.33333333333333337
Wu Yize,Ali Carter,7,1367,1468,0.3647889315421975,0.4372082598613548,118,59,815,413,1336,824,9017,4980,169,90,601,317,348,186,1205,670,4,2,0.0,0.6666666666666666
Ben Woollaston,Zak Surety,7,1392,1273,0.6580301976734948,0.5738312575916094,838,473,5288,2807,256,116,1476,703,159,86,580,301,141,70,489,239,4,1,0.0,0.8
Kyren Wilson,Anthony McGill,7,1577,1353,0.7772350342961843,0.6364525402815664,1060,676,6748,3809,758,451,5037,2734,549,314,1441,838,94,43,646,348,4,1,0.0,0.8
Zhang Anda,Chris Wakelin,7,1461,1466,0.4931644185203322,0.4968750406894684,488,254,3424,1753,436,236,2772,1438,247,126,874,487,301,161,873,475,1,4,1.0,0.19999999999999996
Judd Trump,Matthew Selt,7,1666,1402,0.8151364341594428,0.6592603884513855,1468,1057,10170,6150,885,482,5708,2974,511,321,1732,1061,204,106,955,489,4,1,0.0,0.8
Hossein Vafaei,Ishpreet Singh Chadha,7,1471,1179,0.8389762354745808,0.6748052725823135,338,205,2348,1256,43,22,252,131,204,119,871,501,109,50,252,131,2,4,1.0,0.33333333333333337
Mark Selby,Joe O'Connor,7,1556,1376,0.7305169455924372,0.610639233949222,1574,1075,11243,6543,307,152,1933,970,375,211,1305,741,261,134,741,385,4,0,0.0,1.0
Shaun Murphy,Neil Robertson,7,1553,1518,0.5477297445502349,0.5218610539716015,1374,903,9924,5641,1283,851,9392,5408,292,167,964,552,293,176,1007,577,1,4,1.0,0.19999999999999996
Ross Muir,Jamie Jones,7,1184,1298,0.348251590113029,0.4292283881055083,290,114,1838,841,678,398,4444,2386,98,39,433,199,139,64,687,348,4,1,0.0,0.8
Luca Brecel,Pang Junxu,7,1441,1453,0.48359867043571236,0.4925005624493797,648,377,4345,2350,185,102,1195,624,146,75,857,467,276,151,812,440,3,4,1.0,0.4285714285714286
Jiang Jun,Si Jiahui,7,1174,1491,0.141616146983079,0.3116321231689714,32,11,227,104,199,114,1351,728,134,62,227,104,354,203,927,508,3,4,1.0,0.4285714285714286
John Higgins,David Gilbert,7,1525,1517,0.510936041856229,0.5049998333399998,1893,1334,14639,8625,962,567,6595,3576,460,255,1424,813,299,174,865,481,4,1,0.0,0.8
Barry Hawkins,Xu Si,7,1439,1333,0.641605432096216,0.5658650028954817,1351,843,9288,5198,205,88,1305,602,267,140,950,538,156,79,516,255,4,0,0.0,1.0
He Guoqiang,Stephen Maguire,7,1277,1433,0.2970193973349833,0.4037173007032121,68,37,434,220,1210,782,8838,4963,161,81,351,188,212,115,707,378,4,1,0.0,0.8
Mark Allen,Lyu Haotian,7,1548,1380,0.7169197076810394,0.6034832498647263,1086,722,7693,4373,345,176,2256,1127,356,198,1185,676,169,82,723,390,4,2,0.0,0.6666666666666666
Ben Woollaston,Wu Yize,7,1392,1367,0.534135239137421,0.5156199157230156,838,473,5288,2807,118,59,815,413,159,86,580,301,169,90,601,317,2,4,1.0,0.33333333333333337
Chris Wakelin,Pang Junxu,7,1466,1453,0.5177671819164105,0.5081242849062608,436,236,2772,1438,185,102,1195,624,301,161,873,475,276,151,812,440,4,3,0.0,0.5714285714285714
Judd Trump,Fan Zhengyi,7,1666,1384,0.8307179588376647,0.669295402777446,1468,1057,10170,6150,190,83,1215,562,511,321,1732,1061,201,109,714,376,4,2,0.0,0.6666666666666666
Ishpreet Singh Chadha,He Guoqiang,7,1179,1277,0.3686449928237925,0.4390545496752837,43,22,252,131,68,37,434,220,109,50,252,131,161,81,351,188,4,3,0.0,0.5714285714285714
Si Jiahui,Mark Selby,7,1491,1556,0.41190836491632377,0.45946416072621066,199,114,1351,728,1574,1075,11243,6543,354,203,927,508,375,211,1305,741,3,4,1.0,0.4285714285714286
Ross Muir,Neil Robertson,7,1184,1518,0.12941739564940624,0.3025888856041177,290,114,1838,841,1283,851,9392,5408,98,39,433,199,293,176,1007,577,1,4,1.0,0.19999999999999996
Kyren Wilson,Barry Hawkins,7,1577,1439,0.6814665603465866,0.5854045691294651,1060,676,6748,3809,1351,843,9288,5198,549,314,1441,838,267,140,950,538,2,4,1.0,0.33333333333333337
John Higgins,Mark Allen,7,1525,1548,0.46858930565080326,0.4856289593029398,1893,1334,14639,8625,1086,722,7693,4373,460,255,1424,813,356,198,1185,676,3,4,1.0,0.4285714285714286
Wu Yize,Judd Trump,9,1367,1666,0.1271236946195662,0.3213662821477785,118,59,815,413,1468,1057,10170,6150,169,90,601,317,511,321,1732,1061,5,3,0.0,0.625
Chris Wakelin,Mark Allen,9,1466,1548,0.3760488164949379,0.448928730692658,436,236,2772,1438,1086,722,7693,4373,301,161,873,475,356,198,1185,676,5,2,0.0,0.7142857142857143
Ishpreet Singh Chadha,Mark Selby,9,1179,1556,0.0765706746776669,0.2803956309515509,43,22,252,131,1574,1075,11243,6543,109,50,252,131,375,211,1305,741,5,4,0.0,0.5555555555555556
Barry Hawkins,Neil Robertson,9,1439,1518,0.38043563423724813,0.4507848708986665,1351,843,9288,5198,1283,851,9392,5408,267,140,950,538,293,176,1007,577,1,5,1.0,0.16666666666666663
Wu Yize,Ishpreet Singh Chadha,11,1367,1179,0.7863303004766008,0.6153837563911821,118,59,815,413,43,22,252,131,169,90,601,317,109,50,252,131,6,0,0.0,1.0
Neil Robertson,Chris Wakelin,11,1518,1466,0.5872410251253013,0.5324543063873187,1283,851,9392,5408,436,236,2772,1438,293,176,1007,577,301,161,873,475,6,1,0.0,0.8571428571428571
Neil Robertson,Wu Yize,17,1518,1367,0.7844953735959159,0.5932699921071872,1283,851,9392,5408,118,59,815,413,293,176,1007,577,169,90,601,317,9,7,0.0,0.5625
Haydon Pinhey,Long Zehuang,7,1158,1328,0.28078993585311673,0.39532091528599067,115,52,610,288,78,39,443,225,121,57,347,168,178,99,284,147,3,4,1.0,0.4285714285714286
Wang Yuchen,Andrew Pagett,7,1162,1162,0.5,0.5,100,37,626,268,352,153,2250,1055,74,38,158,89,144,65,417,170,4,1,0.0,0.8
Ben Mertens,Daniel Womersley,7,1262,1109,0.6994442564412617,0.5944759307482401,107,50,642,322,109,53,551,266,136,67,471,240,86,40,180,89,1,4,1.0,0.19999999999999996
Jimmy White,Paul Deaville,7,1141,1096,0.5612649493584694,0.528095374408387,1577,844,13093,6755,32,17,158,79,85,31,384,153,97,51,126,66,4,3,0.0,0.5714285714285714
Mostafa Dorgham,Alexander Ursenbacher,7,1031,1302,0.1786946004606249,0.3368195049006435,25,5,164,53,286,129,1728,829,108,41,154,53,113,56,400,196,1,4,1.0,0.19999999999999996
Chris Totten,Robbie Mcguigan,7,1140,1081,0.5800831913605062,0.5368082899889803,103,37,590,241,72,26,341,148,116,63,204,110,64,28,205,91,4,3,0.0,0.5714285714285714
Zak Surety,Haris Tahir,7,1301,1071,0.7832046596270481,0.6399160967377342,260,119,1496,716,19,11,117,59,161,83,509,252,92,47,117,59,3,4,1.0,0.4285714285714286
Florian Nüßle,Ishpreet Singh Chadha,7,1208,1236,0.46178117660461016,0.48250714233361025,77,36,410,212,50,28,298,156,47,26,194,116,155,75,298,156,1,4,1.0,0.19999999999999996
Amir Sarkhosh,Cheung Ka Wai,7,1093,1182,0.3802964135005039,0.4446033516794108,37,16,238,118,33,20,193,113,67,29,113,53,87,43,193,113,4,2,0.0,0.6666666666666666
Iulian Boiko,Bulcsú Révész,7,1180,1123,0.5774056625100121,0.5355648379838539,110,42,616,269,24,11,163,77,139,67,382,192,112,54,163,77,3,4,1.0,0.4285714285714286
Liam Pullen,Mink Nutcharut,7,1116,951,0.7134663824052628,0.6016871801828567,53,24,319,148,48,5,273,81,104,46,277,126,79,23,272,81,4,1,0.0,0.8
Ross Muir,Manasawin Phetmalaikul,7,1219,950,0.8195570476403493,0.6620627248063988,294,117,1861,854,59,17,330,128,121,52,456,212,74,20,185,68,3,4,1.0,0.4285714285714286
Dylan Emery,Stan Moody,7,1235,1216,0.5259570402770715,0.5118727677562528,131,59,744,363,61,24,360,166,162,81,470,233,135,67,324,151,2,4,1.0,0.33333333333333337
Oliver Lines,Joshua Cooper,7,1310,1024,0.8340553716337187,0.6715050342254059,384,185,2307,1127,70,29,364,168,143,63,515,247,60,29,111,51,4,2,0.0,0.6666666666666666
Peifan Lei,Jamie Gardiner,7,1229,1000,0.7822166026963269,0.6393398367530659,120,55,706,334,0,0,0,0,80,38,309,143,0,0,0,0,4,3,0.0,0.5714285714285714
Antoni Kowalski,Hammad Miah,7,1143,1215,0.402614530473413,0.4551211076264199,47,24,255,131,294,118,1876,848,98,51,131,71,101,41,427,194,4,3,0.0,0.5714285714285714
Huang Jiahao,Jiang Jun,7,1025,1215,0.2584235917462747,0.38343349547868066,33,11,182,76,36,14,250,119,43,12,79,36,157,77,250,119,3,4,1.0,0.4285714285714286
Duane Jones,Artemijs Zizins,7,1268,1124,0.6887157040547041,0.5890404340586651,331,149,1975,961,18,11,97,53,121,60,413,197,97,53,97,53,4,2,0.0,0.6666666666666666
Reanne Evans,Michael Holt,7,895,1248,0.11671949166410811,0.29265998548192695,218,61,1227,463,1016,572,7048,3716,71,16,276,76,73,32,336,170,0,4,1.0,0.0
Anton Kazakov,Louis Heathcote,7,966,1284,0.14087637017760335,0.3110960820230454,51,10,295,98,205,94,1194,583,99,39,273,89,165,84,513,249,3,4,1.0,0.4285714285714286
Ma Hailong,Allan Taylor,7,1150,1231,0.3907515745539448,0.4495472886604723,41,13,267,115,453,208,2670,1281,132,60,267,115,158,84,448,204,4,0,0.0,1.0
Kreishh Gurbaxani,Andrew Higginson,7,1008,1276,0.1813213925427837,0.3384968407970475,26,9,144,65,884,505,6133,3316,80,36,121,55,119,56,463,245,4,1,0.0,0.8
Siripaporn Nuanthakhamjan,Liam Graham,7,869,1000,0.3270849790417103,0.4188490357106063,22,0,127,23,54,16,297,115,59,8,127,23,83,29,218,75,3,4,1.0,0.4285714285714286
Liam Davies,Dean Young,7,1123,1076,0.5639634145132848,0.5293412500457856,50,24,294,138,110,41,571,237,97,47,268,128,85,31,356,142,4,2,0.0,0.6666666666666666
Ian Burns,Joel Connolly Jnr,7,1258,958,0.8453785395674661,0.679178699175393,503,245,3164,1568,8,1,40,11,119,54,459,212,15,7,40,11,3,4,1.0,0.4285714285714286
Mark Joyce,Thor Chuan Leong,7,1280,1240,0.5545057991359679,0.52497918747894,643,329,4444,2233,190,70,1183,525,137,72,461,229,129,62,270,139,3,4,1.0,0.4285714285714286
Gong Chenzhi,Ahmed Aly Elsayed,7,1170,836,0.8705826043505938,0.6974111143958823,30,16,206,106,23,0,111,14,119,59,206,106,64,9,111,14,4,0,0.0,1.0
Alfie Burden,Mitchell Mann,7,1241,1171,0.5947357972115818,0.5436386872370789,814,422,5774,2930,384,174,2314,1091,127,63,452,213,79,40,284,127,4,3,0.0,0.5714285714285714
Simon Blackwell,Stuart Carrington,7,1140,1284,0.3112842959452959,0.4109595659413348,67,34,338,178,519,275,3276,1704,105,58,132,70,131,67,464,228,4,3,0.0,0.5714285714285714
Julien Leclercq,Farakh Ajaib,7,1180,1157,0.5314106943491967,0.5143710406970602,76,33,420,194,156,67,848,389,127,55,345,156,90,51,296,144,3,4,1.0,0.4285714285714286
Fan Zhengyi,Liam Pullen,7,1402,1116,0.8340553716337187,0.6715050342254059,194,86,1238,576,53,24,319,148,224,123,737,390,104,46,277,126,4,2,0.0,0.6666666666666666
Long Zehuang,Sanderson Lam,7,1328,1207,0.660530062626431,0.5750535485557879,78,39,443,225,279,111,1689,744,178,99,284,147,116,48,527,248,4,0,0.0,1.0
Joe Perry,Wang Yuchen,7,1302,1162,0.6838913574482575,0.58661757891733,1392,807,9546,5149,100,37,626,268,142,67,722,360,74,38,158,89,2,4,1.0,0.33333333333333337
Jackson Page,Jimmy White,7,1342,1141,0.7534472409879827,0.6230466603666163,209,106,1328,658,1577,844,13093,6755,188,95,622,319,85,31,384,153,3,4,1.0,0.4285714285714286
Alexander Ursenbacher,Xu Si,7,1302,1326,0.4672268289773793,0.4850044983805899,286,129,1728,829,208,90,1323,610,113,56,400,196,174,87,534,263,4,3,0.0,0.5714285714285714
Daniel Womersley,Thepchaiya Un-Nooh,7,1109,1468,0.11291087526356347,0.2895645189571249,109,53,551,266,573,335,3952,2112,86,40,180,89,181,100,699,384,0,4,1.0,0.0
Gong Chenzhi,Matthew Stevens,7,1170,1352,0.26725111949257796,0.38817263099826294,30,16,206,106,1136,654,8570,4642,119,59,206,106,146,73,613,324,1,4,1.0,0.19999999999999996
Chris Totten,Elliot Slessor,7,1140,1404,0.1848635658405572,0.34073961154861454,103,37,590,241,389,193,2378,1176,116,63,204,110,273,151,702,367,2,4,1.0,0.33333333333333337
Ishpreet Singh Chadha,Ashley Carty,7,1236,1286,0.4319948632384636,0.4687906266262437,50,28,298,156,286,134,1675,825,155,75,298,156,141,73,388,194,4,1,0.0,0.8
Liam Graham,Yuan Sijun,7,1000,1422,0.07843812655214555,0.25826612006856875,54,16,297,115,279,147,1777,920,83,29,218,75,192,104,679,384,0,4,1.0,0.0
Michael Holt,Matthew Selt,7,1248,1399,0.3029244926392999,0.4067300078928128,1016,572,7048,3716,887,483,5720,2979,73,32,336,170,216,111,967,494,1,4,1.0,0.19999999999999996
Jimmy Robertson,Amir Sarkhosh,7,1374,1093,0.829876495909729,0.668741821102192,754,413,4908,2562,37,16,238,118,192,96,761,403,67,29,113,53,4,0,0.0,1.0
Robbie Williams,Bulcsú Révész,7,1341,1123,0.7711668601434364,0.6329747766804608,564,302,3615,1855,24,11,163,77,172,85,592,316,112,54,163,77,0,4,1.0,0.0
Tian Pengfei,Antoni Kowalski,7,1300,1143,0.7041548710511403,0.596884378259767,569,312,3729,1961,47,24,255,131,142,70,509,251,98,51,131,71,4,0,0.0,1.0
Martin O'Donnell,Joel Connolly Jnr,7,1322,958,0.8901903833125965,0.7130001627522816,518,263,3214,1626,8,1,40,11,191,98,497,248,15,7,40,11,4,0,0.0,1.0
Ben Woollaston,Stan Moody,7,1412,1216,0.7480902113030796,0.62010643234309,842,476,5310,2821,61,24,360,166,181,100,602,315,135,67,324,151,3,4,1.0,0.4285714285714286
Anthony McGill,Farakh Ajaib,7,1358,1157,0.7534472409879828,0.6230466603666162,760,452,5048,2739,156,67,848,389,105,48,657,353,90,51,296,144,4,2,0.0,0.6666666666666666
Oliver Lines,Ricky Walden,7,1310,1382,0.402614530473413,0.4551211076264199,384,185,2307,1127,1175,694,7899,4320,143,63,515,247,280,145,958,507,4,2,0.0,0.6666666666666666
Peifan Lei,Jamie Jones,7,1229,1312,0.3881295430910018,0.4483103306572998,120,55,706,334,681,400,4457,2395,80,38,309,143,152,73,700,357,4,3,0.0,0.5714285714285714
Jiang Jun,David Lilley,7,1215,1279,0.4132404983976814,0.4600851154444342,36,14,250,119,267,134,1584,795,157,77,250,119,181,90,540,263,4,3,0.0,0.5714285714285714
Simon Blackwell,Liu Hongyu,7,1140,1311,0.27964834205542655,0.39472346622515553,67,34,338,178,50,25,307,165,105,58,132,70,132,67,307,165,1,4,1.0,0.19999999999999996
Louis Heathcote,Aaron Hill,7,1284,1314,0.4590611389260606,0.4812587841214648,205,94,1194,583,130,60,761,366,165,84,513,249,140,68,555,284,4,3,0.0,0.5714285714285714
Anthony Hamilton,Ma Hailong,7,1261,1150,0.6479578189910671,0.5689332093695466,1055,597,7726,4064,41,13,267,115,136,66,509,246,132,60,267,115,3,4,1.0,0.4285714285714286
He Guoqiang,Manasawin Phetmalaikul,7,1303,950,0.8832805083358919,0.707340014518073,72,40,459,235,59,17,330,128,186,96,376,203,74,20,185,68,4,0,0.0,1.0
David Grace,Yulu Bai,7,1227,969,0.8097380368967944,0.6558828412078137,487,225,3178,1536,14,3,98,34,113,52,489,230,45,13,98,34,4,0,0.0,1.0
Graeme Dott,Kreishh Gurbaxani,7,1332,1008,0.86350380276547,0.6921095043017882,1189,694,8515,4578,26,9,144,65,160,84,683,359,80,36,121,55,4,2,0.0,0.6666666666666666
Duane Jones,Scott Donaldson,7,1268,1392,0.33573422151202137,0.4231147388679537,331,149,1975,961,499,265,3199,1632,121,60,413,197,160,85,657,341,0,4,1.0,0.0
Mark Davis,Alfie Burden,7,1389,1241,0.6935058085008956,0.5914589784327801,1322,785,9084,4938,814,422,5774,2930,162,89,544,274,127,63,452,213,4,2,0.0,0.6666666666666666
Dominic Dale,Haris Tahir,7,1303,1071,0.7851724867885262,0.6410674063348171,1120,623,7744,4072,19,11,117,59,175,87,536,266,92,47,117,59,4,2,0.0,0.6666666666666666
Xing Zihao,Jamie Clarke,7,1162,1272,0.3533092199647455,0.4316800165217519,35,14,216,98,341,170,2039,1011,116,54,216,98,139,64,557,269,2,4,1.0,0.33333333333333337
Daniel Wells,Thor Chuan Leong,7,1386,1240,0.691115079332653,0.5902502519301835,531,267,3491,1753,190,70,1183,525,170,88,568,317,129,62,270,139,2,4,1.0,0.33333333333333337
Liam Davies,Jordan Brown,7,1123,1270,0.30768847003935795,0.4091452475454057,50,24,294,138,344,176,2120,1056,97,47,268,128,166,76,784,394,1,4,1.0,0.19999999999999996
Dominic Dale,Zhou Yuelong,7,1303,1394,0.37769674881231197,0.4433690400777467,1120,623,7744,4072,510,301,3215,1732,175,87,536,266,164,78,907,479,3,4,1.0,0.4285714285714286
Wang Yuchen,Jack Lisowski,7,1162,1453,0.1618368093529497,0.3257435747770527,100,37,626,268,810,494,5279,2892,74,38,158,89,246,136,1051,581,4,3,0.0,0.5714285714285714
David Grace,Kyren Wilson,7,1227,1576,0.11931181473543584,0.29473437040922057,487,225,3178,1536,1063,678,6764,3819,113,52,489,230,565,324,1457,848,3,4,1.0,0.4285714285714286
Jamie Clarke,Mark Williams,7,1272,1552,0.17096781161198127,0.33181222783183384,341,170,2039,1011,1807,1185,13193,7573,139,64,557,269,298,166,1080,627,0,4,1.0,0.0
